"","GSM580027_HEK293_B1.CEL","GSM580028_HEK293_B2.CEL","GSM580039_HCT116_B1.CEL","GSM580040_HCT116_B2.CEL","GSM993504_H9ES_B1.CEL","GSM993505_H9ES_B2.CEL","GSM993507_HEK293T_B1.CEL","GSM993508_HEK293T_B2.CEL","GSM993509_HeLa-S3_B1.CEL","GSM993510_HeLa-S3_B2.CEL","GSM993511_HeLa-S3_B3.CEL","GSM993518_HepG2_B1.CEL","GSM993519_HepG2_B2.CEL","GSM993520_HepG2_B3.CEL","GSM993543_HUVEC_B1.CEL","GSM993544_HUVEC_B2.CEL","GSM993551_K562_B1.CEL","GSM993553_K562_B2.CEL","GSM993555_K562_B3.CEL"
"3200134",4.332408,4.365374,3.041192,3.321052,8.328758,5.742912,3.747722,3.921241,2.702522,3.234746,3.157931,3.297936,2.91605,3.31058,3.864801,4.043121,4.29299,3.975421,2.852716
"3200564",3.689745,3.708055,4.350931,4.138015,4.387317,4.349421,4.003971,4.262231,3.644637,3.905731,3.539655,4.002228,3.61818,3.936042,4.250671,4.007839,3.936042,4.145873,3.936042
"3200611",7.714336,7.410682,7.257034,7.122208,8.153203,8.43194,9.023414,8.684717,8.65453,8.955377,9.28965,8.075271,8.033402,7.539103,7.156336,7.329546,8.129021,8.198845,8.197236
"3200648",6.825728,6.834543,7.839801,8.088551,8.54307,8.785801,7.712568,7.383405,6.76596,7.602186,8.467467,10.96867,10.79223,9.692415,8.410374,8.434403,8.59549,8.498415,8.591048
"3200689",9.98656,10.39904,10.35239,10.36935,11.58703,11.83215,11.96329,11.65767,10.78545,10.92377,10.77366,10.56471,10.65055,10.56531,10.60784,10.65888,10.79834,10.8315,10.96438
"3200762",4.306111,4.217588,4.542332,4.472954,5.912782,5.874412,4.827261,5.035792,4.209014,4.376562,4.0032,4.140344,4.252242,4.377409,4.426242,4.58042,4.925727,4.826081,4.714183
"3200982",8.467467,8.422131,5.100641,5.169828,4.915084,5.970322,8.4388,8.189361,7.274255,7.135445,7.603969,5.940221,5.881281,5.54099,4.739333,4.992144,3.703613,3.579786,3.210537
"3201144",2.498189,2.75796,2.817384,3.012519,3.675365,3.243669,3.053624,3.288789,2.735716,2.85692,2.806509,3.026607,2.777948,2.459448,3.377296,2.602981,2.768085,3.79656,2.733727
"3201170",3.569762,3.246211,3.628483,3.832678,3.970139,3.589045,3.531005,3.897306,3.530241,3.728089,3.485114,3.918206,3.497911,4.045165,4.147612,3.748651,3.565164,4.420753,3.704127
"3201178",2.392036,2.730248,3.144959,3.244904,2.605576,3.11626,2.793755,3.151766,2.489068,2.458467,2.531555,3.260446,2.549998,2.846632,2.710537,2.769582,3.761158,2.783936,2.966726
"3201188",2.629692,2.491503,2.904379,3.024383,4.062753,3.173323,4.02005,3.488411,2.606309,3.832262,2.731265,2.605944,2.940153,2.485452,2.462014,2.984583,2.815391,2.355194,2.715653
"3201199",2.458149,2.387028,2.64919,3.282057,3.381201,3.133965,2.908045,2.976401,2.492895,2.423382,3.365508,2.583291,2.264735,2.988957,2.712559,2.79604,3.20103,3.205301,2.470592
