"","HEK293","HCT","H9","HEK293T","HELA","HEPG2","HUVEC","K562"
"3721926",10.1712142564023,9.96584233198821,9.03560784364088,9.39554490574972,10.055413383966,10.4431879027623,9.65510063026844,9.75584165825103
"3721956",7.94220288541284,7.91740368267234,5.7947683944247,5.91447989874277,6.67469793663234,8.2294395618237,6.43784162719674,5.21920052208868
"3721989",5.39818862342655,6.01561061892378,5.50517410809375,5.33013016970631,6.07256410809165,6.7132272396214,6.88693885766162,5.57754937327334
"3722039",5.11456980861467,5.15149369061061,6.65791333899705,5.40611376510621,5.25287527109577,5.82984714275129,6.82088689565258,5.53542330752854
"3722060",10.3146694245504,9.77351639548661,8.58844737925463,8.92740961538482,8.99255467475771,9.784242869583,8.57031879110124,9.97270637637962
"3722084",5.10648047347303,5.62483630356231,5.42804203974263,5.47263045407204,5.42819899523484,6.70680363031825,5.26318904338359,6.92021124324926
"3722129",4.50161980972739,4.36689181354932,4.97946734436981,5.32759216783017,4.40903263604251,4.39273281083559,4.38131691663158,4.60963655729784
"3722152",10.5925520719576,10.3921510224233,9.99347844695521,10.1156223594417,9.95455656616706,10.0732084936597,9.68131116989755,10.1323419986052
"3722182",5.14668688735336,5.44873560117944,5.01506966228593,4.99072939707656,4.54182718527498,5.13322137577587,4.71761728983808,4.80323380076732
"3722195",4.83041332549969,5.05708027032267,4.82708142397385,4.90271122063849,4.43808018046837,6.22895640821951,4.74514043176808,4.78109087608804
"3722248",3.65610735628896,3.85800895572167,4.5897345572332,4.39168079875674,3.79690576486236,6.18858165335709,3.88592097179882,4.02338245143998
"3722286",6.04578663860798,6.0488931261922,4.67967118761292,4.9416920646788,7.21202767895902,6.85231005624311,6.04360313333274,7.35668827841014
"3722308",13.6350708700314,13.5030312437872,13.2497947949977,13.4354521005017,12.4265704660829,12.4429179392362,12.2769437995543,12.6806804830639
"3722311",12.9197347118778,12.6236566114599,12.1560923583456,12.4775450042964,11.3186012836561,11.4496019669795,11.2657328550429,11.683682586965
"3722312",10.0006785673285,9.49291134753248,10.2370416798572,10.5783874635037,8.89263814749464,8.22230850863209,8.18378189346078,8.91124954610056
"3722313",2.92390945190123,3.14797097244728,2.9304603013334,2.8688923335346,3.46977194431085,3.56648345946187,3.2453220237157,3.75960949480982
"3722316",8.06223800346796,7.66048480669224,12.3630839080386,12.5570578520907,9.32566420676255,8.92477629129861,8.92461304905355,9.15255052624399
"3722318",6.85514980185188,6.50879321304852,12.4036128871624,12.6486394144143,8.65576121188799,8.30399033390044,7.84462267308958,8.62542504607121
"3722319",3.03598776997745,3.34857332910748,3.03737238934642,3.59483445657896,3.21612434478534,3.38560033255119,3.59565981243645,3.5880937016168
"3722321",5.52282508604724,6.55034258269183,6.6541666223427,7.67948321944354,5.69962890576453,5.62946946645915,6.46912364339808,5.86107313755389
"3722323",4.47091278915198,4.76919128360212,6.12903722084019,6.73956150834547,4.83448006671919,5.60769094206467,5.31553333820802,5.96630380442164
"3722325",5.12064988260831,5.55010922265418,6.45385388394579,7.63419557752822,6.03305603983356,5.61896823484581,6.67449323104756,6.40335821011589
"3722327",4.9588471380147,6.28703422179676,5.44203145779967,5.48935957152064,6.36132259892162,6.45029630873608,6.2016387666342,6.45146155163766
"3722329",3.31982831110235,4.52407469274791,4.54057901697147,5.75364102163635,6.42180018988672,6.88530095914189,4.61167280118683,6.9391216306643
